"","HDI rank","Country","Human Development Index","Life Expectancy at Birth (years)","Expected Years of Schooling","CODE","Total","women","growthRate","region","rank","latestRate","dataYear","pop2023","landAreaKm","density"
"1",1,"Switzerland","0.962",84,"16.5","CHE",5.09999990463257,5.31300020217896,0.00643,"Europe",46,99,2003,8796669,39516,222.6103
"2",2,"Norway","0.961",83.2,"18.2","NOR",4.36999988555908,4.15899991989136,0.00737,"Europe",2,100,2011,5474360,364285,15.0277
"3",3,"Iceland","0.959",82.7,"19.2","ISL",6.01999998092651,6.34499979019165,0.00649,"Europe",50,99,2003,375318,100830,3.7223
"4",5,"Australia","0.951",84.5,"21.1","AUS",5.11999988555908,5.01399993896484,0.01,"Oceania",42,99,2003,26439111,7692020,3.4372
"5",6,"Denmark","0.948",81.4,"18.7","DNK",5.05999994277954,5.13399982452393,0.00487,"Europe",47,99,2003,5910913,40000,147.7728
"6",7,"Sweden","0.947",83,"19.4","SWE",8.72000026702881,9.04699993133545,0.00595,"Europe",45,99,2003,10612086,407283.5,26.0558
"7",8,"Ireland","0.945",82,"18.9","IRL",6.19000005722046,6.14200019836426,0.00673,"Europe",49,99,2003,5056935,68890,73.4059
"8",9,"Germany","0.942",80.6,"17.0","DEU",3.5699999332428,3.18099999427795,-9e-04,"Europe",38,99,2003,83294633,349390,238.4002
"9",10,"Netherlands","0.941",81.7,"18.7","NLD",4.21000003814697,4.50099992752075,0.00309,"Europe",43,99,2003,17618299,33670,523.264
"10",11,"Finland","0.940",82,"19.1","FIN",7.6100001335144,7.05600023269653,0.00085,"Europe",1,100,2000,5545475,303940,18.2453
"11",12,"Singapore","0.939",82.8,"16.5","SGP",3.53999996185303,3.78099989891052,0.00653,"Asia",84,96.774628,2015,6014723,718,8377.0515
"12",13,"Belgium","0.937",81.9,"19.6","BEL",6.26000022888184,5.85599994659424,0.00259,"Europe",44,99,2003,11686140,30280,385.9359
"13",13,"New Zealand","0.937",82.5,"20.3","NZL",3.77999997138977,3.88000011444092,0.00826,"Oceania",48,99,2003,5228100,263310,19.8553
"14",15,"Canada","0.936",82.7,"16.4","CAN",7.46000003814697,7.21099996566772,0.0085,"North America",41,99,2003,38781291,8965590,4.3256
"15",16,"Liechtenstein","0.935",83.3,"15.2","LIE",NA,NA,0.00654,"Europe",6,100,2011,39584,160,247.4
"16",17,"Luxembourg","0.930",82.6,"14.4","LUX",5.25,5.6230001449585,0.01107,"Europe",3,100,2000,654768,2574.5,254.3282
"17",18,"United Kingdom","0.929",80.7,"17.3","GBR",4.82600021362305,4.5939998626709,0.00338,"Europe",39,99,2003,67736802,241930,279.9851
"18",19,"Japan","0.925",84.8,"15.2","JPN",2.79999995231628,2.47099995613098,-0.0053,"Asia",37,99,2002,123294513,364500,338.2566
"19",21,"United States","0.921",77.2,"16.3","USA",5.34999990463257,5.21000003814697,0.00505,"North America",36,99,2003,339996563,9147420,37.1686
"20",22,"Israel","0.919",82.3,"16.1","ISR",4.31899976730347,4.3769998550415,0.01507,"Asia",80,97.099998,2004,9174520,21640,423.9612
"21",23,"Malta","0.918",83.8,"16.8","MLT",3.52999997138977,3.25699996948242,0.00333,"Europe",119,94.066612,2015,535064,320,1672.075
"22",23,"Slovenia","0.918",80.7,"17.7","FYUG-SVN",NA,NA,-8e-05,"Europe",21,99.71476,2015,2119675,20136.4,105.2658
"23",25,"Austria","0.916",81.6,"16.0","AUT",6.17999982833862,6.11600017547607,0.00216,"Europe",67,98,2011,8958960,82520,108.5671
"24",26,"United Arab Emirates","0.911",78.7,"15.7","ARE",3.10999989509583,6.7960000038147,0.00802,"Asia",128,92.986366,2015,9516871,71020,134.0027
"25",27,"Spain","0.905",83,"17.9","ESP",14.7799997329712,16.7180004119873,-0.00082,"Europe",63,98.11451,2015,47519628,499556.6,95.1236
"26",28,"France","0.903",82.5,"15.8","FRA",7.8600001335144,7.75299978256226,0.00201,"Europe",40,99,2003,64756584,547557,118.2646
"27",29,"Cyprus","0.896",81.2,"15.6","CYP",7.46000003814697,7.93699979782104,0.00691,"Europe",33,99.059776,2015,1260138,9240,136.3786
"28",30,"Italy","0.895",82.9,"16.2","ITA",9.5,10.625,-0.00282,"Europe",34,99.015793,2015,58870762,295717,199.078
"29",31,"Estonia","0.890",77.1,"15.9","USSR-EST",NA,NA,-0.00249,"Europe",9,99.823509,2015,1322765,42750,30.9419
"30",33,"Greece","0.887",80.1,"20.0","GRC",14.710000038147,18.8740005493164,-0.00421,"Europe",104,95.29287,2015,10341277,128900,80.2271
"31",34,"Poland","0.876",76.5,"16.0","POL",3.35999989509583,3.38700008392334,0.02933,"Europe",14,99.787422,2015,41026067,306130,134.0152
"32",35,"Bahrain","0.875",78.8,"16.3","BHR",1.53199994564056,4.53599977493286,0.00902,"Asia",94,95.717262,2015,1485509,785,1892.3682
"33",35,"Lithuania","0.875",73.7,"16.3","USSR-LTU",NA,NA,-0.01153,"Europe",10,99.82328,2015,2718352,62620,43.4103
"34",35,"Saudi Arabia","0.875",76.9,"16.1","SAU",6.69199991226196,21.5289993286133,0.01478,"Asia",111,94.842369,2015,36947025,2149690,17.1871
"35",38,"Portugal","0.866",81,"16.9","PRT",6.57999992370605,6.90199995040894,-0.00227,"Europe",101,95.428108,2015,10247605,91605.6,111.8666
"36",39,"Latvia","0.863",73.6,"16.2","USSR-LVA",NA,NA,-0.01105,"Europe",8,99.892693,2015,1830211,62230,29.4104
"37",40,"Andorra","0.858",80.4,"13.3","AND",NA,NA,0.00331,"Europe",4,100,2011,80088,470,170.4
"38",40,"Croatia","0.858",77.6,"15.1","FYUG-HRV",NA,NA,-0.00539,"Europe",31,99.272591,2015,4008617,55960,71.6336
"39",42,"Chile","0.855",78.9,"16.7","CHL",9.35000038146973,9.63899993896484,0.00132,"South America",87,96.627548,2015,19629590,743532,26.4005
"40",42,"Qatar","0.855",79.3,"12.6","QAT",0.170000001788139,0.532000005245209,0.00789,"Asia",75,97.757088,2015,2716391,11490,236.4135
"41",44,"San Marino","0.853",80.9,"12.3","SMR",NA,NA,-0.00054,"Europe",93,96,2011,33642,60,560.7
"42",46,"Hungary","0.846",74.5,"15.0","HUN",4.05000019073486,4.24300003051758,0.01896,"Europe",29,99.380882,2015,10156239,91260,111.2891
"43",47,"Argentina","0.842",75.4,"17.9","ARG",8.73999977111816,9.85799980163574,0.00579,"South America",64,98.089973,2015,45773884,2736690,16.726
"44",50,"Kuwait","0.831",78.7,"15.3","KWT",2.81800007820129,7.01700019836426,0.00966,"Asia",90,96.117706,2015,4310108,17820,241.8691
"45",51,"Brunei Darussalam","0.829",74.6,"14.0","BRN",7.44600009918213,8.9689998626709,NA,NA,NA,NA,NA,NA,NA,NA
"46",53,"Romania","0.821",74.2,"14.2","ROU",5.59000015258789,5.04500007629395,0.01188,"Europe",56,98.757027,2015,19892812,230080,86.4604
"47",54,"Oman","0.816",72.5,"14.6","OMN",2.51200008392334,9.1540002822876,0.01488,"Asia",123,93.971649,2015,4644384,309500,15.0061
"48",55,"Bahamas","0.812",71.6,"12.9","BHS",11.664999961853,11.7019996643066,0.00644,"North America",97,95.599998,2003,412623,10010,41.2211
"49",56,"Kazakhstan","0.811",69.4,"15.8","USSR-KAZ",NA,NA,0.01076,"Asia",13,99.787849,2015,19606633,2699700,7.2625
"50",57,"Trinidad and Tobago","0.810",73,"14.5","TTO",4.44999980926514,5.25600004196167,0.00254,"North America",53,98.969582,2015,1534937,5130,299.208
"51",58,"Costa Rica","0.809",77,"16.5","CRI",15.1400003433228,20.1180000305176,0.00605,"North America",76,97.647247,2015,5212173,51060,102.0794
"52",58,"Uruguay","0.809",75.4,"16.8","URY",9.28999996185303,10.9029998779297,9e-05,"South America",59,98.442101,2015,3423108,175020,19.5584
"53",60,"Belarus","0.808",72.4,"15.2","USSR-BLR",NA,NA,-0.00385,"Europe",19,99.722038,2015,9498238,202980,46.794
"54",61,"Panama","0.805",76.2,"13.1","PAN",10.3009996414185,10.6990003585815,0.0135,"North America",107,95.038231,2015,4468087,74180,60.233
"55",62,"Malaysia","0.803",74.9,"13.3","MYS",4.0460000038147,4.27500009536743,0.01091,"Asia",112,94.636993,2015,34308525,328550,104.4241
"56",63,"Georgia","0.802",71.7,"15.6","USSR-GEO",NA,NA,-0.0043,"Asia",18,99.759621,2015,3728282,69490,53.6521
"57",63,"Mauritius","0.802",73.6,"15.2","MUS",7.6560001373291,10.5649995803833,0.00084,"Africa",135,90.616043,2015,1300557,2030,640.6685
"58",66,"Thailand","0.800",78.7,"15.9","THA",0.991999983787537,1.03400003910065,0.00145,"Asia",122,93.983017,2015,71801279,510890,140.5416
"59",67,"Albania","0.796",76.5,"14.4","ALB",12.6829996109009,12.6090002059937,-0.00348,"Europe",77,97.553902,2015,2832439,27400,103.3737
"60",68,"Bulgaria","0.795",71.8,"13.9","BGR",5.26999998092651,5.03299999237061,-0.0139,"Europe",60,98.38858,2015,6687717,108560,61.6039
"61",68,"Grenada","0.795",74.9,"18.7","GRD",NA,NA,0.00594,"North America",92,96,2003,126183,340,371.1265
"62",70,"Barbados","0.790",77.6,"15.7","BRB",9.58199977874756,8.43400001525879,0.00128,"North America",23,99.699997,2002,281995,430,655.8023
"63",71,"Antigua and Barbuda","0.788",78.5,"14.2","ATG",NA,NA,0.00571,"North America",54,98.949997,2014,94298,440,214.3136
"64",72,"Seychelles","0.785",71.3,"13.9","SYC",NA,NA,0.00506,"Africa",103,95.321083,2015,107660,460,234.0435
"65",73,"Sri Lanka","0.782",76.4,"14.1","LKA",5.23899984359741,7.88700008392334,0.00281,"Asia",129,92.614166,2015,21893579,61860,353.9214
"66",75,"Saint Kitts and Nevis","0.777",71.7,"15.4","KNA",NA,NA,0.00206,"North America",73,97.800003,2003,47755,260,183.6731
"67",77,"Ukraine","0.773",71.6,"15.0","USSR-UKR",NA,NA,-0.07448,"Europe",17,99.764107,2015,36744634,579400,63.4184
